Validator,Vote Account,Stake (SOL),VL,LLV,CV,VO
🐱kitty🐱 - HIGH PERFORMANCE 0% fee + MEV,4k4op6epymSYQkuJoX31azW2bdXh3exmEsj7wLCRKaPB,90335.94557,1.294,94.89%,98.39%,N
SOLSTAKER.PRO🚀👦,P4f3F3VfMhKvpGQXg2MuvLfWmZui41gvcH9XKtYDiFX,90220.91677,1.628,88.87%,98.23%,N
Bro,Dh4K8fNV6pRFZtbzQnP5a5HmyBPb2kmxvWiYmc5fJMvj,90074.56553,1.672,88.33%,96.04%,N
0% fee + MEV Bonus | FASTEST validator,Egz6nSLqdTaM4xPyx6ZerwWqaNJV7NFRprXJtFKonASV,89645.51786,1.924,81.97%,91.65%,N
Solary | 0% +MEV,DKeL7T5t7XXKSbWpM3i9mkV9hRhqrEDbVVyL63AJ7TqE,89499.67001,1.303,96.15%,99.55%,N
Moon Walkers 🌒 0% + MEV,F2bcoVhE2he5DCruN4PKkWAriNXs2VWty94n9CCdWZ8s,88667.20101,1.532,90.91%,98.67%,N
samo wif hat (SAMOWIF),WiFKWdvXypmu9nk4RwuMDh28YbVAp66TigPHUxH5iYY,88416.73251,1.714,84.15%,96.80%,N
,6UDU4Z9TTbYy8gcRKBd7RX3Lm2qMsSR4PMuzoyYPzLma,88211.75991,1.954,81.95%,95.08%,N
stake2earn 🌜,6559KMdiUseNSAkRcK9WcFcNTppoj6jWtKVedpMkBYCn,88156.65138,2.033,79.33%,86.59%,N
,NomaDtKz3VQi85XssD6jpprLF5FPWghbAB1SSdWV1VN,88092.59661,1.674,89.79%,97.66%,N
Hedgehog Spiky Validator,3dXXxEaV4fZqw1PL7VezfDkiJV5W4WTtRjh2EHgKSthF,87787.70456,2.026,78.90%,90.85%,N
KINGBONK | No commission or MEV Fees🐶,KBoNKQQj7QpVEzKKFbzxASVUjXx8TauASwYb546hCqS,87539.66912,1.206,96.75%,98.75%,N
Frupis +MEV,3UmhLuNdgE2NYDSfXmbu5DhPRxWUK8JwiRcG6tXV4JGc,87458.07189,1.725,84.66%,99.55%,N
Ice Staking,votem3UdGx5xWFbY9EFbyZ1X2pBuswfR5yd2oB3JAaj,87330.30064,1.429,93.19%,99.77%,N
OleRock,7tr5vUb3j36k4p9bs2tr1GwRFoSsEWd4LEut8e8HJZEv,86946.67618,1.572,92.52%,99.54%,N
Watatsumi Validator,8B2Z2R8dRvqFcXuLBwinu3Jq7HQidCaJCnDuRRqeJLC1,86605.39026,1.325,96.46%,99.83%,N
,J5L2z5rVWQHFeM8PzSSTnDedLrYgnK6WKxU4X8hh4qry,86158.27369,2.023,78.93%,85.42%,N
RushChain,2Gife8andd4BkEbT5CncpriPxmQYqbspDh8cXkN6RUSH,85710.08754,1.559,90.94%,98.41%,N
SolCandy🍬 +MEV,AE6xdVD5e92ZgevjWAamoF5kuAu88AvmUv4RRdBcoyz3,85697.45858,2.175,73.08%,91.10%,N
EliteStaking.vip 💜,5WPxGiB6zBXNJp8JN3WhSKDuTY3ZBX6dBDcbtVMQAJLX,85613.55312,1.632,88.74%,98.09%,N
darko,4v2os15BGgAnqiy76YvPmAywp5xKh9jfBPfnQGzUVc9c,84708.66994,1.737,87.91%,95.62%,N
VolanD,DimavhUqvCpWjUZqSFZGLqBiUVUYQ5jZEaCHutKKVs45,84370.59334,1.798,85.41%,93.10%,N
Jaga + MEV%,9f6sqJ9JvWm2eMC4D2bTRqjkkrzYQ8bzoUJvffmkkKL9,83008.97894,2.183,80.68%,87.55%,N
⚡pulsar - 0% commision + 0% MEV fee️ ⚡,PULSARWFx8NpS5rbUxRgJiUbGVrGrVT6j8CykdH4UCX,82694.80681,1.191,97.01%,98.94%,N
,GREENr9zSeapgunqdMeTg8MCh2cDDn2y3py1mBGUzJYe,82586.32458,1.662,87.48%,95.07%,N
Alpha MEV,aVotE2iXaXUVKeTWaHtKbSkkUqH96zC6kTKyonzHQZ4,82147.23825,1.741,85.69%,92.33%,N
unode2,F8vL85h6Je7XQYZBwwQPy7fbHd4rf81pTVE47Y2VpjNS,81376.16081,1.522,91.06%,97.83%,N
toly,8M7fvH3pXSrDK8xaNXLN6kNxaAL3J4niRqPvzQru7X4w,80535.04539,1.601,89.38%,98.62%,N
Code-Breader,HeTyhZdUKswQoonJJTXqAnDN48ceyVAeFaKfYKayGPNS,79463.64614,1.771,88.99%,98.27%,N
KodSun,7MMhQedcxv1ZLMthZsDtPYy14reJMYF1FbBVMba2FGK2,79368.72146,1.441,93.12%,99.52%,N
TazmanDevil,1gqv7KGm888nQXsJoNFwGaDkNERUBztuekjzK3J3T7a,79109.20927,1.694,90.48%,98.27%,N
Lamport 0% fee +JITO MEV,FMKT6kHBkmPf3LjZV5tpo3oR4m32rF8nF8JtC3WWcWoN,78932.62338,1.469,92.55%,99.54%,N
Corgi-node ⚡️ 0% Fee,GFK84uv9cr1d6KnkPERSEYagTvpLKTuwa8W9adx1qMg6,78912.58205,1.916,81.62%,89.02%,N
Adorable | 0% fee +MEV,votrmVhKBfy2taHK5RYXb8XF8zfgU8jK3VTi77KL8Bz,78053.80359,1.285,96.38%,99.78%,N
Stake.Cake,o27rnqfNHPwHsRp2xPXXwWzn2q2dGxn6UD4Rt5KMU5h,78012.74666,2.050,78.73%,86.99%,N
Glory 荣耀 | 0% Commission + MEV,9Lp7PzvKVMhjqyQfJwxyha5P6thNWMmVDuVVyqqSaK7b,77870.39754,1.666,86.40%,99.68%,N
Gaveljas,BUyTfHHrp3HQ4TQXaXrRrNuhLsbz23auKYNrxkQRfViP,77626.52951,1.667,88.19%,95.56%,N
Squads,SQDSVTDfE5HqL7D6RjZk1vvZhaheWoskrDdDHCki68w,77152.67323,1.657,86.60%,99.22%,N
✌❤☯ WellDoneStake,We11J5D4iXcNbdMwCZX2o9RRkwaWBo1AGLADfubmeTb,76756.37842,1.426,93.49%,99.48%,N
Making Cash,8BbpzqTUCUa4oR71AMgcBiTQvd6Gta3xJHCG4xK9mKBp,76457.00914,2.119,78.89%,89.07%,N
cesar,Cn9bZCGSYN57GsTfJ5YLCy8HMejHZqrBQkv99eusJtEH,76292.08278,1.547,90.62%,97.60%,N
Cheese🧀 0% fee + MEV,8XPteKmVNkkAwESc7b68BLKLLfHfBwKrag9jk2JnotqM,75750.33085,2.103,74.04%,95.99%,N
Luanna,8vyuJTHSDkx7k1zymea4TMsgvixf3rCYBXHPDQajePkE,75570.92099,1.447,92.75%,99.59%,N
OYKC,xnYks8B2TPLRumBHQSocoXqpH6fmDxTStVQvhZNf9D5,75304.23616,1.807,84.79%,95.29%,N
,G1itch7djMvG4vMRToAgs45cVqrLGKFbzrgV4qNDsG1X,75047.29959,1.475,92.19%,98.67%,N
Solanius,J9m57tJrjukiCzubJVYQtskwfHiKD7DB6295nhwVRhpc,74852.93651,1.546,93.10%,99.62%,N
BullMooseSystems,2iWXwF2Q5W6o7yntV2mkbxncB4rYHnX61y3NU8a8EFMJ,73550.25098,1.881,82.08%,90.21%,N
STAKED IDENTITY +MEV,AXA7ztxJGz77RHmocYQ6MEbPYHbpc3TmhtQqZGrdzqo1,73452.87478,1.604,89.13%,99.43%,N
CyberStake ⚡ 0% fee + ALL MEV,74UYnazXV25u3SCTsx6AHfPak8nennsxYTMhaeHbvuE6,73345.72012,1.527,91.52%,99.41%,N
Bodech,GxMWXbj3xLVf9bK4rspJ3yjg7cmaLhZX6325brY8J1wi,72931.69579,1.936,84.15%,91.76%,N
A Unicorn Julia,686JcEJ98r8fMtUiVuKiz4WRoBpJ2Sm9zMhdc2b6H4bu,72922.18979,1.678,91.92%,98.19%,N
Dual Validator,CNcaYdqkCwxDpKSVK8in5f6kqrTiZ5SuHsHFDqx6jNvu,72599.15850,1.544,90.62%,99.00%,N
ADevRocket,CsfWHXyL85Ur2vsfJcxg8advGyfFa6FbCWMX22qbsqmk,72538.41428,1.742,86.51%,94.41%,N
GPvalidator,2PpHNHPLseBb4doTu1ajTwAxCrjmu7ubReDHKPrjxi9F,71910.17116,1.623,90.95%,98.44%,N
Cypherpunk Holdings,punK4RDD3pFbcum79ACHatYPLLE1hr5UNnQVUGNfeyP,71704.96931,1.772,85.60%,91.85%,N
Eclipse,5hxHdAJAJrJ8UYkDU2BboECxJdosCYcQqGYjkqJFuCJi,71578.18845,1.628,88.99%,96.46%,N
@bftpapi,EcWtSUtmgCPfLP456LrKG7QqhSSSeSVuQAJSdqFtBK3v,71569.17531,1.596,94.36%,96.17%,N
Boss,3hHSwKHgnrbVDBWfkx6TJY1WABUoRs7Ve57sRTg9rAY9,71096.37676,1.761,86.28%,94.93%,N
ROCKnSOL,eRuZHEsLgULocRrgw5PsuDEjWR1SrkC4aES8QsiHhF5,70527.82273,1.788,83.39%,94.80%,N
AltaBlock,A1taSaBJrLMrqfWsPESYDujnZv5yD7bF35LjXoyNXhzN,70465.95057,1.745,86.48%,95.60%,N
NeNa 🌻,5RCD4pZcKH3NHN4XHxvsnVAawSaConLgsZbreSN5dXpZ,70457.29580,1.558,89.47%,99.75%,N
SolBlaze,SBLZib4npE7svxFA7AsD3ytdQAfYNb39c8zsU82AA2E,70288.16753,1.947,78.02%,98.79%,N
ApeDAO,7Bp6dp5UVhwbDWnrNQhvVBUK3K2poxQSf5we274wYnSF,69980.29167,1.563,90.55%,97.84%,N
Dmitriis88 +MEV,HWeDLvzf8PhbYCuNFXB9E3fiCaz8RCtHW8b52iPAboCJ,69536.77699,2.161,73.05%,94.05%,N
Pesky Penguins NOOT NOOT (+MEV),vvvvXsU6iG2enDVvs4KeVqS4YrZczTujSv5p3dSeNHx,69255.15760,1.579,88.94%,98.24%,N
Tensorian 👾,A8q1whmfdNKCNN2Y4Yjc4cnc4esCBcwXrcaWnYwrH4r6,69106.33095,1.569,89.80%,97.36%,N
Nasu Validator,BrPtQfUipB1yV2kMXPeQsEKERy4uZAX21t2ZMb2Ee48M,68430.17000,1.596,89.35%,96.81%,N
Asteroid staking,5mSBnz3zNSVzXQHxBmrTLESynukH2JHVcCN14GHtVsWD,68416.49216,1.636,88.20%,96.02%,N
Farben,Ej35PiU6wxfrQeJJwuqoT7s2gYSwCjcxQtEpHvpvWBu2,68335.11122,1.500,91.09%,99.60%,N
,De4k4hrdkxFHmAx4nVRA3g5ukdg4YqmDLdwuYUcrjjud,67772.43427,1.482,91.95%,99.56%,N
SpaceCat.ws 🚀 0% + MEV,DM8eVQwKYpFUq4MAC1XEeZMjV4T34LfvGkK9vca55GaY,67761.19715,1.802,85.28%,94.50%,N
Hypo Nyms,nymsndUdAZyUPpWYz5VEg8Ghj9cFvwTRgciLogpmYaQ,67240.20967,1.236,96.13%,97.88%,N
,93jNtLuu5MF3Me4MGidwQFq8Pg7iVWiRHioXm3aYhsv6,66780.03394,1.827,82.99%,96.73%,N
,438C7o4cJrbchdmxEPvFgaE5g9DocWKeSc1k4E1aY7qw,66492.28600,1.676,87.19%,94.48%,N
,irBmuzr6ZJbkBZwreeDeQBCpVLJWsxeWS4pfjsfkDSL,65936.77415,1.818,86.65%,94.04%,N
StakeWare,C616NHpqpaiYpqVAv619QL73vEqKJs1mjsJLtAuCzMX6,65443.49463,1.638,87.27%,99.83%,N
🪐 To The Stars 🪐,FSDKGroWxgBf7VmV6X1NLDhnncrWW2ekztwRWiJrPf3k,65436.48093,1.263,96.83%,99.89%,N
bloXroute US,DSzLJLUQD55sxaCsJBHLFSV1SYngMmT7oY8rLpFhyGgb,65351.52797,1.867,81.81%,95.98%,N
⚡GorillaSol⚡ 0% Fee + 0% Jito MEV,CCknLtNpJWNzq2cBrwqYxXR9oguZmaXtoMQQQDCec2xY,65119.80528,1.517,91.48%,98.98%,N
unode3,ET5johBaPyWugD2Mx1zbTCvvbedxZFURembUHng1rzfZ,64298.02857,1.502,92.05%,99.14%,N
🌀 SolWave 0%fee +Jito MEV,GwT72fNWtBrFa9GsBru2kPso1NEw3AnzrjPwprVAv32X,63887.84468,1.354,94.71%,99.95%,N
Sugar Free 0% 🍹,3JFt7NBHuz7bR1wbWVKgGLkZx9QPwnkuW2sx2nREgbbr,63876.59222,1.357,94.69%,99.95%,N
Huisky Staking + Mev,G1juWDqojmp5CWDhgRqtXrtpAFw9xqhjmEQAKr9faf4V,63723.62139,1.881,81.36%,96.66%,N
WDMASTER,HqMYqwdCRqUDfpg7sVJZxTVXRfxTAQv6r9CZajtJZzv8,63555.03474,1.768,83.10%,99.70%,N
Shinshinoo Systems | 0% + 0% MEV,8W4JH1JgFuB6qY6En5zyVZH1qLAr2hafCaXGFZaKpRFm,63233.19020,1.564,90.56%,97.51%,N
Flipside,DMPhNJFSvi34NmfcqR4B5rdKgDYY3kZbXpdXJBL4cJ1q,63215.18613,2.013,79.99%,84.52%,N
SolTA,D8aGMETy3q6ymADJs7YS81QY2qTQmptVox3iCfGDgSTA,63063.95204,1.511,91.18%,99.44%,N
thugDAO Validator,H7fXvnLCKtZqJBTipxeseabGfAZUdHJ9XuP6hCKrbvUb,62199.14752,1.517,91.24%,99.05%,N
astol | 0 FEE + jito MEV,FVhMWs3bbayWpUqDAbWUPH813gzFzJEo8fzhLhhkGstp,62015.89939,1.452,92.67%,99.56%,N
Solana Japan Validator 🇯🇵  Jito MEV 🚀,76DafWkJ6pGK2hoD41HjrM4xTBhfKqrDYDazv13n5ir1,61868.35187,2.204,72.94%,85.15%,N
6hTLQ5HSdWcpZkbXmZxXaGjCgTh7zh8UeWKWKgGE1BPp,6hTLQ5HSdWcpZkbXmZxXaGjCgTh7zh8UeWKWKgGE1BPp,61861.72681,1.849,83.53%,92.15%,N
❄❄❄️,EkLA4nA5jtM2t2FkNWo6XWAyvQyaJJUZoX5p7LMawoaz,61772.44406,1.626,89.06%,96.63%,N
Zemnoi 💜 +MEV jito,53ANFYA6BCDzdtiEeWawm5bqsH1Qgmjog8oMo5N4o4wU,61484.57086,1.289,96.39%,99.90%,N
Tokyo ㊗️ 0%fee+Jito,7okgo2YWz8fgNLAHSmAFwqPF59GMq9QuTSFSzPkkVcq7,61293.93018,1.986,77.13%,98.21%,N
🌌 QuantumSol - Jito MEV (0% Fee),9gY4S2LkL6QJwBU7hpDFEMKcvb7tvdqW29UfobazJG5i,61231.71384,1.359,94.60%,99.93%,N
Elysium 🧊 +Jito MEV,3R4effnUPr3sDo5wdegPBnqTmKTZhKkbgL1wxYw7w4B6,60959.20460,1.341,95.83%,99.78%,N
0node.io,6cvBCfFXugkTqgSFVPvzhoWaLbhHWvZfSsZadWP5rryR,60908.60220,1.709,86.98%,97.30%,N
marisarze,9rY6YGuR5tQZvy4YjZGi7oujhjRSR3zqmCXX5LGoHmas,60704.31634,1.252,96.98%,99.99%,N
Alien 👽 0% +Mev rewards,qjUuLxWo29QCBr7ZQw4EPLkAtmjHS2ZdZpZcH9g7fRb,60598.24170,1.318,95.91%,99.78%,N
Tuzem,EujFnyMz71DXdN93GeSCDU7pFiy1vrFG7cAbtfAhFeSe,60561.69272,1.343,95.08%,99.74%,N
Geleon,Hi8vxcjvAoLSDB9a9xjreJBFurMg41UQhNndx3qS1BJW,60424.56377,1.972,79.73%,86.25%,N
StakeThat +MEV,8xV77wuFP5BkMDdb1845hRRWZNbDNAbcV75BjMuViWpf,60390.47003,1.820,82.88%,93.72%,N
BLOCKPRIME 💠,8guXF5HQVU4g71ZCnn6aEJxQyb59NaEc4XCGjF5arsiH,59950.40828,1.907,87.57%,96.46%,N
JB273 Solana Validator,GK9MfwWEK7BvMS8eQDaiEPnKcqMJoS7SKUiEBQY2pfxC,59899.16201,1.462,92.40%,99.69%,N
Valera,9esjPxaUdD7yg4yDrBkP3jLipcAGVjpLDXsddF89avzW,59644.49605,1.600,89.47%,97.12%,N
romanh,yrfQfUfsZechz1zqQyTRRz43czTZQidcrm4SNVWiDPi,59414.07619,1.508,91.64%,99.11%,N
UZB Validator - 0% FEE + Jito MEV,QodirbUG8AZQBWpHhPJPfjj1xg4AaQUZCVVtwT8YfPi,58906.36481,1.842,84.66%,92.02%,N
SUNREN,FgiteGaHbA22Wt4Quzv3muscQtvX7gzVwvUHbFnb3rTJ,58635.79807,1.956,81.19%,91.04%,N
GUIDES,wetwJSUHT5afX3gP49q75gkz8FcCfvsw2kuSQ1UjT9R,58605.60291,1.896,80.35%,94.92%,N
Abrea,DLMhVf7xXa8R2D2y1fZSRVQwXdup7EfwBFbttzn5ppnC,57710.66161,1.578,89.80%,97.28%,N
S4Mar,9wQQnnnkk5b5GkQWTW9L4kEA3CjFv6CqsQd5gt6tRsHK,57442.95617,1.503,92.17%,99.23%,N
Solana.capital,irKsY8c3sQur1XaYuQ811hzsEQJ5Hq3Yu3AAoXYnp8W,57089.92053,1.861,84.79%,91.48%,N
gLAd,StakeSuWAzutXc386d7PRaSJLWrNfh5iBhqxqGCkmZ8,57088.87574,1.604,89.41%,96.70%,N
Raposa Coffee,rapxbkwBSSvtqRFrsY83f51oUuZNuVXci74MuzYhiCy,55767.87226,1.946,79.51%,90.63%,N
web34ever,ENVaKoD7ytn58xJ8s5htFfQ8hqQt1G9dcPUDqbSwVcgB,55618.70964,2.133,76.01%,83.16%,N
EAC solval1,8ty86LdqsnSW4fpbZRFaR1EfgB3eUknJVz8BKY5izoWy,55531.14101,2.445,76.00%,80.80%,N
some name,uTnZDhnbiSV3TX2obj71nFPAm2aXy83mFTFYzaBRk34,55024.09307,1.760,86.47%,94.47%,N
Solana Stake Two,ErvMUdtMC7AX55zKdYSyy4DnWNCrTsWn5GwprSG7ocnx,54924.46249,1.427,93.18%,99.70%,N
StakeWithUs,2NxEEbhqqj1Qptq5LXLbDTP5tLa9f7PqkU8zNgxbGU9P,54628.77622,1.831,81.53%,97.45%,N
Helblaster,5PKBzZEbwGEXhQj47eiwH6RHAPSCxcVhdYcFttW5gLWQ,54144.66108,1.721,87.13%,94.63%,N
Butas,7LtXiFCXqxwntUkTfzMAmS8TTehK8m3cbzx7BgvYFTiP,53887.09204,1.619,91.09%,98.72%,N
Bitprim SOL Validator,FXRu5NA4ouLGFuZNNWZFwwnvQz9zE7JCX3D23RJTc2NU,53794.65124,1.887,84.22%,93.62%,N
Ordnung 🇩🇪 | + Jito,5CcxrEwDtJYJWatpYd3Ngo5TjZa61WTR279KetxRXJde,52853.37592,1.502,93.00%,99.01%,N
Huva,DTWh2VQuUJmskHuZWy1KLNvzKqk7PeMkCoaNvZy415U7,52802.40408,1.838,83.87%,93.91%,N
Appleyello,78QvBqfkWbDbyo1DMb2ku42r1UfxecwptjbPWJqxkX6E,52287.21025,1.734,90.27%,97.63%,N
,BjREhubbyR597w8tK9NUCLY74Zct2VuhvrNhyLinVc2e,52141.39938,2.138,77.04%,82.76%,N
,9BSZriSFS8Yb835exZwTLN19Dqy9B43yvuMAAdL3nBvz,52109.95560,1.599,88.85%,99.22%,N
,FWwnxVb7Q59MoMraDN2k8gqkdJJVd2qu9o5iiQsxpoUp,52108.52724,1.926,79.62%,97.12%,N
,95Kg9C27WjjrnQpgZ418hxWTeumPTyH1ENnBoimVN5PL,52102.08880,2.258,73.67%,85.61%,N
,BRrgfW2AKKYYEGVU6j1mbnoQajHTRuUgXCAPPzFgcF9q,52091.47575,1.647,88.49%,98.74%,N
Staking Fund,SFund7s2YPS7iCu7W2TobbuQEpVEAv9ZU7zHKiN1Gow,52003.16787,1.892,82.35%,92.20%,N
StaRKe,D3QPJm7BDzzPeRG51YZSEz3LfV7GvFNu9NkcibzURxuj,51617.50174,1.461,92.60%,98.61%,N
sobolk_n,GRWCUtxwiSLtLGERyNyZymr77NJdko2HdDHxpVcJz6E9,51420.15342,2.029,81.02%,88.45%,N
,6zzAPhyFZgS6rdknHNZLcsoooZ744GtVmTDyfvRmN37Q,51220.19190,1.944,81.44%,90.43%,N
,5cJyfCLBfghRtoCuVJNreJgNCStqXLrhHmRhSRYtbgtr,51146.81054,1.584,89.18%,99.42%,N
,CzGLRXJXoDo9q86MpphPVNNsTgAxHvZfUfAiouWDH89M,50836.48564,1.595,90.11%,97.64%,N
labas,GC8W2uHZ9UyrmgoDGsuFt322L18cRhsbKxWiZ579aLM6,50774.98125,1.450,93.40%,99.39%,N
,ASifxiwxht8FvsiV3VcLngsCBMw4E6zw3QMWoJTbM4Uf,50388.41420,2.099,73.77%,96.70%,N
Celestyn,6UgxzgqkEyXMwPtgyDZSn8WGzJ5GdSWG1bSPvy7V6QwV,50241.10976,1.757,86.83%,94.16%,N
cleverFog,55d6G3qVzKfZ5ZWQxaExw7rJSZ1sRg5EQfXaJAo6vwwZ,49693.64602,1.755,86.90%,94.18%,N
DAIN,AEtdq4CwtuktCEUWLLpRTNPBZs6tr7BBqxkHJ1DjAttR,49689.30258,2.137,75.83%,85.53%,N
IN OTHER LIFE,DX3Rpy2drSHvwS85EEy29wH3LQG2ZrefoYqhroeJSzY7,49660.71923,1.802,92.52%,98.91%,N
Solana Meme Coins Validator,9yYzduhLTmv2C9unYhiEDxKvaTj6D2yeRXL8mFkmTfKc,49434.46627,2.209,77.38%,84.46%,N
bobbrus,3yoaBCgeuNNCK7SWqUdSvbjKZdj9BeN3neQc647oUV8g,48883.23994,1.378,94.38%,99.81%,N
TDRSystems,BKccvpa2f5McCLjE91pSGzEY6Ac5sWm1jmHy5QmZ1vTm,48810.06706,1.760,85.78%,96.15%,N
EWR 0% Validator | No commission + Jito/MEV,5yHqB3NxovCEMUniQCboaPRMyyQ7kQQF4QqvC4vaz78z,48417.93091,1.670,87.36%,98.33%,N
SunSol Validator,SUN1nYpPJVjd3gKnDACdaUVL53LJaXR9u8e9i1jkZ3a,48413.64605,1.584,89.88%,96.94%,N
NodesGuru,xSGajeS6niLPNiHGJBuy3nzQVUfyEAQV1yydrg74u4v,48209.93852,1.392,94.05%,99.72%,N
nga_validator,9K67smfw8hDXmtnR7uvP62WrKUcB7oZ8cvpsB1hmrCzf,48155.33807,1.441,94.20%,99.72%,N
ART3MIS.CLOUD ☘️,3iPuTgpWaaC6jYEY7kd993QBthGsQTK3yPCrNJyPMhCD,47932.09169,1.731,86.69%,94.28%,N
rocknode,DUxWarcMsNYD5EKj3mchf7ssT9j6h4Bdw3VFJi7QxDry,47749.26101,1.783,84.80%,96.27%,N
,9r5ifZdqmyK6fqB7t8WXPAibCW9xgizniaihFPpWkaP7,47355.34002,1.395,94.26%,99.87%,N
Honeybee 🐝 +Jito,QXmsTYFK7YT2BpP2AnvXwuRpfwmsJZpovLcUqdSjoK1,47039.26041,1.341,95.00%,99.95%,N
elephanton,FkK9cat6c8zhLXeYFn4UTvy6fnSLB4p6SCbRQQfdFkkP,46743.12284,1.730,86.39%,98.04%,N
Ded Monkes,dedxrPfNqPKBRmUyP9LDkaitpQzU6PD44jA6GP9Ndhk,46487.80850,2.056,76.45%,84.82%,N
crypto-jack-sparrow,9NZ18GkTnXZug6eXAzpBsmyCsYfAJ7mL9bgUfSJDSAKr,46311.94415,1.392,94.09%,99.60%,N
GrandReserva,5m8kTjAZRGppy6Ag5uCfUBzY1Ev4NtLR7fJwoaK3HanP,46296.90998,1.856,86.56%,93.97%,N
Goku,DvFTFLrEQSfEadPQdesvf5bpYWYqXK9iaJAjq95piQBs,45965.07838,2.008,77.29%,89.34%,N
NodT,3pBPy27F1Wz3iVydZnGkdvefStrFm8UMCDakYZii8AUZ,45649.13040,2.345,79.10%,91.10%,N
MainOrbit +MEV,6ztDG1XRZiuXtoCotN51kUPtdHXwRAgRiVEbbUfoQ6CK,45302.87250,2.431,80.65%,87.86%,N
AsmrValidator ✅ 0% fee + MEV,GFQmJaC2SqTDf2tfAHauiGdaBfBD8tJVpwZTT78SeBCr,45292.71518,1.666,89.26%,96.53%,N
LatentHero,4sFsBDei4m7UXwuMeAGVmnJxZe9peJ5tvq581HoT9aH9,45281.20771,1.508,92.10%,98.66%,N
valer amor,ESjX2jRuvdr2a47JfEKjP24gNsgreE9PvSpkw4t5Xn2M,45260.77122,1.554,90.32%,97.61%,N
alexar,FXbkkbLWH4PxSK8t1JmKAHn4pEvGsCFyMT7pfgwm62us,45175.32727,1.453,94.08%,99.71%,N
dogo validator,sShosKd6uA5c1ZpVMxdsE6do13TLRWSMYsXbSMmNC77,45089.52704,1.410,93.69%,99.36%,N
Sarmina,VNbW721iu6uVkrx246N2BiQth8u4b4SCPJwH3JvUovD,44892.88053,1.792,85.19%,93.99%,N
Skalp,72i2i4D7ehg7k3rKUNZLFiHqvhVFv1UvdCQbiNTFudJa,44392.53630,1.868,82.89%,97.89%,N
MoonyTonny,2BGBakG9kjmZAaygVmAuUrBSqBZt8p5FVabbStxHEXUj,44068.24829,1.746,87.08%,94.39%,N
PolarBear Validator,CQr9DJLMeYqmXcfG8Z8cgSFw7ntXvVUamBM3dMVzWiJz,44040.31485,1.390,94.15%,99.77%,N
Africa,8gjfs4krwDrME3n7jzKshMBhejFPHE6pTrhm2LcKGSPd,44021.89954,1.913,82.14%,92.62%,N
,NikGQUQqSLtsdHGGx7mQopojZcgd3N9uWFaZQ1r5EXn,43715.65070,1.542,91.90%,99.44%,N
Smile:),E1CzrFHxFG2LBQKMjizgSdsgfEejrEJfrvzUGNVxz6SE,43689.26987,1.611,89.57%,97.07%,N
kuma🐻validator 10% APY LST🚀🚀,4m1PbxzwLdUnEwog3T9UKxgjktgriHgE1CfAhMqDw7Xx,43442.07116,1.564,90.44%,97.58%,N
Fibonacci Finance,fVotEjqpmpQYgyVyBCwYm62BKqqTQNE6SpYnRmdBazH,43421.04479,1.729,85.52%,90.77%,N
🦋 Butterfly 🦋 +jito,AaxfteYTX2ftBRQfW1x6FiC8wY5dCJYgsPr8JwwMUuPZ,43353.71670,1.425,93.92%,99.63%,N
val37,2QE9X9X4tdDUTYic1DgBBJjU7cWUNPbKYGerCb9KqDQN,43122.74588,1.942,82.33%,91.50%,N
MomPudge,4K4qpgksvHbKnk8mpMNncHxihMN1ayidQ8odqJKaN7mH,43092.12178,1.626,92.01%,99.28%,N
Republic Runtime,83pBJ852VuvrX8yaJgNSeYiEmgP98WuUGoADtaZUuqMR,43006.81407,1.466,92.42%,98.84%,N
🚀 ELSOUL LABO 🚀 - Support OSS ⭐,ELLB9W7ZCwRCV3FzWcCWoyKP6NjZJKArLyGtkqefnHcG,42965.90121,2.197,74.24%,80.12%,N
Dante 🐾,AYSvheimgwhpRHXossLqrTBDPwo4jHDQJ1UhMeAArTwH,42931.58740,1.450,92.68%,99.78%,N
💞 GirlWithSol 💞,ESaLvDNR7FVdf4sR1edjAGN678ts24s8VGirvPq9q7H3,42416.13549,1.451,92.62%,99.73%,N
Stake🛩Jet + Jito MEV,54LAJpkmdovUQPRqE4pyDXHRfHpVJqT5MjwEmAEVBboY,42039.71172,1.538,91.04%,99.01%,N
Evgeny,5wYHvcKbCHPsT9dhEZaVZzoVY1qA7bosKRzKczpcaXpq,41854.63162,2.128,83.02%,90.12%,N
,JeDosjMNLfyjzj8Zpu27U6s2vbidbKZj4N3in2KRECB,41808.94262,1.671,89.71%,97.97%,N
iX,74PrnaiKU5q8SJX4H9Jis7xyzMUNoSesizn7FhFZaxfG,41780.62988,1.636,90.16%,98.50%,N
0base.vc | MEV 🔥,5BAi9YGCipHq4ZcXuen5vagRQqRTVTRszXNqBZC6uBPZ,41687.36687,1.967,80.57%,95.09%,N
Olaf,YT7i3TkDv9GpbQ5qEkL7dvb3fAXSuNKwCotw2MjrWxZ,41642.99473,1.420,94.15%,99.76%,N
FERZb,kpkkSzKLha44i5ij2eyTf8Aju9eQTEixeR8ktmvtDgT,41506.51851,2.128,83.15%,90.56%,N
troo,XBtfuT5gYU27UAukT3pEzgiKgHpHNQhSoa3zX2PYtiT,41488.11215,2.534,79.30%,92.51%,N
cyberG,9jJNuZE4EHTrz8xiTzmDGjJnCn5dGmruCyUwG1vgdHZR,41399.90724,1.833,81.87%,97.58%,N
