Validator,Vote Account,Stake (SOL),VL,LLV,CV,VO
mrgn3,mrgn6ETrBDM8mjjYN8rbVwFqVwF8z6rtmvGLbdGuVUU,1106024.64175,1.278,95.06%,98.63%,N
,A3ahHFBFkPkuLMhxLGEnKVVZu2J6Qy8Z7z2zozyXGhw2,1103880.40200,1.775,93.72%,98.72%,N
,FsT844wGgZg7MLR9Uc9T9qHQxmSoFVanhfgAEQvS966r,1039752.20339,1.674,86.87%,93.89%,N
Allnodes⚡️ 0% fee,6F5xdRXh2W3B2vhte12VG79JVUkUSLYrHydGX1SAadfZ,1035607.01425,1.441,93.11%,99.85%,N
mrgn4,mrgn4t2JabSgvGnrCaHXMvz8ocr4F52scsxJnkQMQsQ,1023872.86947,1.340,93.29%,98.53%,N
,Bkskrv38Kn7zJR5mvmbCDGn2M4Jyhzt2ZqwQXV6rYnXa,1020933.35395,1.775,85.64%,94.22%,N
Pumpkin's Pool 🐈 Supports Animal Welfare ❤️,DsiG71AvUHUEo9rMMHqM9NAWQ6ptguRAHyot6wGzLJjx,1000117.22425,1.700,86.17%,96.73%,N
,7KVnUL45FH4N8Z7x1dnvJ7GzMx12cs81mS26mHzNjQPN,983914.52527,2.116,80.47%,92.64%,N
validator.com,Va1idkzkB6LEmVFmxWbWU8Ao9qehC62Tjmf68L3uYKj,980332.17539,1.973,78.78%,95.72%,N
Blockdaemon 🧱👿 Validator,FQwewNXahV7MiZcLpY6p1xhUs2acVGQ3U5Xxc7FzV571,979188.12161,1.653,88.02%,95.51%,N
,J21SMPFJEY9ExCDPiSJQXN23PVSeoQe3LnKD7QcP3bgP,935757.06096,1.918,81.51%,94.21%,N
GREED Academy - funding education,GREEDkpTvpKzcGvBu9qd36yk6BfjTWPShB67gLWuixMv,889090.07988,1.680,88.08%,99.32%,N
Stakeconomy 🚀 Jito MEV + Triton.One,GNZ1PAAS33davY4Q1BMEpZEpVBtRtGvSpcTH5wYVkkVt,886145.36523,1.558,89.69%,97.86%,N
Leapfrog 🐸 topvalidators.app,Pond1QyT1sQtiru3fi9G5LGaLRGeUpJKR1a2gdbq2u4,857187.73770,1.498,90.86%,97.85%,N
Juicy Stake,juicQdAnksqZ5Yb8NQwCLjLWhykvXGktxnQCDvMe6Nx,854280.82454,1.798,85.09%,95.59%,N
DimAn,voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd,852679.91613,1.759,83.03%,96.30%,N
,ALiQdX94fYbGUt8ar6chuAN1nj8g8bKSgJ7qV3W7bPsS,850530.26176,1.531,94.35%,99.21%,N
Rocket,7S9dHgoeMYvtShTjEC3x5D3THRDQz123WVGPseZsm3hm,846177.75909,1.815,84.28%,94.00%,N
Alpha,5sMmkL4BXjU6vZXQxE3RquH2CR8v8Zbfi1EAAFxLfxMx,825470.29186,1.540,90.83%,98.31%,N
Quatro,5orRi4tMEGneZ9U2y381JnBEnsqFJDBSNQLhBn98Bkcv,824664.09102,1.611,89.19%,96.62%,N
Flash,3tUZu4CkwMLwYdosoGc85n48VgDMyxZVkL1VUJc7DrxW,822411.04487,1.581,89.99%,97.72%,N
Hamsa,8uEgdseqbUrDLfmHbUpTHoH1LLRxeViYDk7K6NdXKRYM,801923.04487,2.038,78.40%,85.86%,N
Bella2.0,8zHJtME22tiY3UsSHtDJXo2J8hUfwikBxXNbVqQzA92r,775594.34886,1.611,89.23%,96.73%,N
Quantum Crypto | 0% Fees,QUANT7qKUEW4PS4eP9jq4K35rDHpgWkWcgjbW1CwnGJ,752719.81420,1.535,90.63%,97.17%,N
Alpha Pro | High APY🚀 100% Reliable ⭐ VIP Services,7opSZGmevWhRDyLt5Wu38FZFjUyredGmMki4DNmxDnjd,735782.77337,1.630,90.33%,97.24%,N
Cogent Crypto ⚙️ CogentCrypto.io,CogentC52e7kktFfWHwsqSmr8LiS1yAtfqhHcftCPcBJ,696503.93991,1.501,87.18%,98.50%,N
,8tjRQLzor4dP4qd1e7pVDdQmsdwdVv4kSeCVEHwWEiQW,687210.92914,1.576,89.52%,95.86%,N
LowFeeValidation + MEV TOP PERFORMANCE,edu1fZt5i82cFm6ujUoyXLMdujWxZyWYC8fkydWHRNT,658773.30021,1.366,94.75%,99.56%,N
mrgn,7emL18Bnve7wbYE9Az7vYJjikxN6YPU81igf6rVU5FN8,651980.81729,1.198,96.49%,98.78%,N
Chainode Tech & MEV(0% Fee),BxFf75Vtzro2Hy3coFHKxFMZo5au8W7J8BmLC3gCMotU,632749.61848,1.408,93.30%,99.76%,N
Stake.su | 0% fee +MEV,2PEyBgsPYBQ8pMdXQtEaPGNqWQHE9GCnmV2tTVN4GMru,607032.34625,1.547,90.19%,97.67%,N
SolanaHub,7K8DVxtNJGnMtUY1CQJT5jcs8sFGSZTDiG7kowvFpECh,585989.89274,1.392,93.87%,98.83%,N
Unit 410,EwsDhgfbT6H4FRC7AHdhXNBxfBSbWCbDfknrw6g5Dph6,538000.29091,1.507,91.81%,98.58%,N
BONK - Powered by Jito,J1to3PQfXidUUhprQWgdKkQAMWPJAEqSJ7amkBDE9qhF,509834.21570,1.779,83.05%,99.35%,N
Orangefin Ventures,oRAnGeU5h8h2UkvbfnE5cjXnnAa4rBoaxmS4kbFymSe,498231.22737,1.355,91.55%,99.03%,N
Blocksmith,SmithX2hngQMZXVN36C6TsyjthTU3YnsALAs1MaDghV,485643.90668,1.827,82.97%,95.36%,N
Mad Validator,B6nDYYLc2iwYqY3zdmavMmU9GjUL2hf79MkufviM2bXv,484422.60401,1.765,84.28%,97.18%,N
Limitless Systems,8yPiZWMNYMhEqTmPSRc6LsWLFC8pewYEzmgc5kRCLTrZ,476310.66007,2.167,72.08%,96.76%,N
Lifinity Protocol,2ayMCC4aizr8RGg5ptXYqu8uoxW1whNek1hE1zaAd58z,463098.89855,1.433,93.00%,99.49%,N
mrgn2,mrgn2vsZ5EJ8YEfAMNPXmRux7th9cNfBasQ1JJvVwPn,439901.51836,1.209,96.16%,98.74%,N
Chainflow,CAf8jfgqhia5VNrEF4A7Y9VLD3numMq9DVSceq7cPhNY,430637.32329,2.250,73.61%,83.56%,N
,46mwXQRqWwj8Jp4ZR2tL1Yr3Snm99xDfKUs5jz7hLmEK,414465.19653,1.337,95.04%,99.78%,N
Stakin,4PsiLMyoUQ7QRn1FFiFCvej4hsUTFzfvJnyN4bj1tmSN,409950.70266,1.777,86.17%,94.20%,N
The Gods Themselves,RNXpSdqrJL6eoLrbW69Q9qsFviEwRpfFfk3HiRRRohq,406562.69159,1.433,92.93%,99.48%,N
,AqCAXRpWJBpaJxEDyv7ruP2wi6fef6DBTaAHSxdTf7hA,391665.42172,2.203,71.18%,89.88%,N
